"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.609134750E0,-3.690784739E0,3.168396832E0,1.205588162E1,1.300018892E1
1.619142750E0,-9.588267151E-1,-1.770554441E0,1.071068639E1,1.089830329E1
1.629151750E0,8.281634892E0,-2.821308450E1,8.773195109E0,3.068440264E1
1.639159750E0,1.827391482E1,-6.670569573E1,9.622489150E0,6.982963628E1
1.649168750E0,2.468987511E1,-7.957383162E1,-1.016023418E1,8.393339603E1
1.659176750E0,3.127921236E1,-8.151922365E1,-7.363859432E1,1.142209067E2
1.669185750E0,1.598607008E1,-5.372374964E1,-2.430113818E1,6.109288853E1
1.679193750E0,7.827356522E0,-3.042592350E1,8.493015246E0,3.254436416E1
1.689202750E0,2.892575191E0,-1.717473418E1,1.111836128E1,2.066292435E1
1.699210750E0,-3.827502581E-1,-8.182117621E0,1.209770441E1,1.460985964E1
1.709219750E0,-2.501529488E0,-1.956290077E0,7.717393200E0,8.345230880E0
1.719227750E0,-4.157639301E0,2.402897485E0,6.653299938E0,8.205259347E0
1.729236750E0,-4.541082454E0,5.519252343E0,7.768529440E0,1.055621267E1
1.739244750E0,-4.035484534E0,7.590926111E0,8.902074759E0,1.237554967E1
1.749253750E0,-3.372357362E0,9.238988401E0,9.078701602E0,1.338486173E1
1.759261750E0,-3.312731842E0,1.146090755E1,8.723425949E0,1.477920006E1
1.769270750E0,-4.778499875E0,1.157435756E1,8.815512578E0,1.531381977E1
1.779278750E0,-5.559379445E0,6.861697043E0,7.745150517E0,1.174635870E1
1.789287750E0,-2.233719702E0,7.480725392E0,6.278403368E0,1.001843825E1
1.799295750E0,1.358697328E0,8.624646011E0,5.162893785E0,1.014327607E1
1.809304750E0,3.758642262E0,7.766221544E0,3.692479847E0,9.384881253E0
1.819312750E0,5.921315078E0,7.054845194E0,4.049279870E0,1.006128622E1
1.829321750E0,7.220368760E0,5.949944800E0,4.681819380E0,1.046207440E1
1.839329750E0,6.548371654E0,5.154462100E0,4.763382776E0,9.598930478E0
1.849338750E0,1.865792136E0,4.894484952E0,4.554374345E0,6.941144640E0
1.859346750E0,-1.419904228E0,5.043719344E0,4.800214680E0,7.106144792E0
1.869356417E0,-2.944456951E0,5.152060649E0,4.729989912E0,7.588567732E0
1.879364417E0,-3.394087662E0,5.269944025E0,3.898693601E0,7.381866490E0
1.889373417E0,-3.265360039E0,5.307859125E0,3.244922851E0,7.026056432E0
1.899381417E0,-3.362379088E0,5.292167537E0,2.766355147E0,6.853127109E0
1.909390417E0,-3.641965459E0,5.305302722E0,2.625007480E0,6.949878679E0
1.919398417E0,-3.528927086E0,5.326474321E0,2.738877912E0,6.951698158E0
1.929407417E0,-2.905491106E0,5.228397219E0,3.090932334E0,6.732895271E0
1.939415417E0,-2.774286311E0,4.877474817E0,3.001479582E0,6.363592131E0
1.949424417E0,-2.921640238E0,4.196981122E0,2.038893985E0,5.505244854E0
1.959432417E0,-3.337806749E0,3.333269017E0,6.584850678E-1,4.762902353E0
1.969441417E0,-3.433956901E0,2.282138448E0,-1.411195385E0,4.357945423E0
1.979449417E0,-3.011188884E0,8.645611203E-1,-5.021400522E0,5.918546074E0
1.989458417E0,-2.365401630E0,-8.348151648E-1,-8.665640255E0,9.021383611E0
1.999466417E0,-1.762026862E0,-2.184141453E0,-8.324489136E0,8.784778422E0
2.009475417E0,-9.182520086E-1,-2.705764545E0,-6.247159356E0,6.869595952E0
2.019483417E0,-2.028197381E-1,-2.787416818E0,-5.231871049E0,5.931551487E0
2.029492417E0,2.325355804E-1,-2.929297752E0,-5.870275317E0,6.564677480E0
2.039500417E0,-2.656638578E-2,-3.376065958E0,-6.494950322E0,7.320034618E0
2.049509417E0,-7.495186141E-1,-4.873711549E0,-7.696827373E0,9.140896784E0
2.059517417E0,-8.800272980E-1,-7.927824551E0,-1.208684964E1,1.448160158E1
2.069526417E0,2.675560752E0,-1.027564653E1,-8.962853057E0,1.389533273E1
2.079534417E0,5.233477864E0,-8.701610572E0,4.499866893E0,1.110657999E1
2.089543417E0,4.716129672E0,-4.244496181E0,1.051022512E1,1.227690755E1
2.099551417E0,2.675150862E0,-3.181054884E-1,1.127033977E1,1.158784630E1
2.109560417E0,-5.686173101E-1,2.690644230E0,1.071913094E1,1.106628484E1
2.119568417E0,-4.796248806E0,4.740945840E0,8.008519635E0,1.046981169E1
2.129577417E0,-7.843593071E0,5.536953034E0,5.539209475E0,1.108434223E1
2.139585417E0,-9.902042191E0,4.678525643E0,2.198807439E0,1.117021915E1
2.149594417E0,-1.142768133E1,2.520333549E0,-1.750100589E0,1.183244834E1
