"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.060696631E0,2.428369045E0,-5.621955872E0,5.478286266E0,8.216750237E0
2.079831735E0,3.432353020E0,-7.678556442E0,4.949989796E0,9.759286617E0
2.098953506E0,4.585099697E0,-6.499243736E0,1.754840016E0,8.145107234E0
2.118101944E0,5.386628151E0,-4.121157646E0,-1.136037707E0,6.876793210E0
2.137237048E0,4.312233448E0,-1.033566475E0,-3.723385572E0,5.790269172E0
2.156358923E0,-2.101957798E-2,9.296493530E-1,-3.538150549E0,3.658305489E0
2.175507360E0,-2.300179958E0,-6.582250595E-1,-5.264841080E0,5.782961150E0
2.194642465E0,-3.820172787E0,-2.972002983E0,-6.524267673E0,8.123582370E0
2.213764235E0,-5.487124443E0,-8.452298164E0,-3.006217480E0,1.051604595E1
2.232912777E0,-6.093291283E0,-1.220794106E1,-1.035820127E0,1.368338214E1
2.252047881E0,-4.662271976E0,-4.798732758E0,-4.252929688E0,7.927927030E0
2.271169652E0,3.885948658E-1,-9.777870178E-1,-3.490309477E0,3.645453835E0
2.290318090E0,2.752115726E0,-8.419418335E-2,-2.490430117E0,3.712609837E0
2.309453194E0,3.168948889E0,3.635455132E0,2.123126984E-1,4.827405903E0
2.328575069E0,2.047924995E0,5.945195198E0,8.299018145E-1,6.342560977E0
2.347723506E0,1.193993449E0,8.023297310E0,1.485744715E0,8.246596718E0
2.366858610E0,6.265360117E-1,8.147826195E0,1.624643803E-1,8.173494586E0
2.385993715E0,1.306021810E-1,9.220213890E0,5.823254585E-2,9.221322689E0
2.405128819E0,4.161401987E-1,8.513455391E0,-5.959447026E-1,8.544427743E0
2.424264027E0,1.467754960E0,6.857539177E0,-1.081425309E0,7.095747239E0
2.443385798E0,2.642405510E0,5.553595066E0,4.511396885E-1,6.166705121E0
2.462534235E0,3.291595936E0,3.097784996E0,2.083980322E0,4.977333590E0
2.481669340E0,3.781173468E0,-1.095741272E0,3.409068108E0,5.207654663E0
2.500791110E0,4.324252605E0,-8.551492691E0,1.938863277E0,9.776828660E0
2.519939652E0,1.718562126E0,-1.475234604E1,-5.143007040E-1,1.486101190E1
2.539074756E0,-1.788426876E0,-7.358688354E0,5.497063637E0,9.357695957E0
2.558196527E0,-3.802375793E-1,5.203981400E-1,5.162302017E0,5.202379932E0
2.577344965E0,1.682943106E0,-1.520440102E0,-1.516498327E-1,2.273110924E0
2.596480069E0,-1.524701715E-1,-1.090361977E1,-9.103697777E0,1.420526256E1
2.615601944E0,-6.913353443E0,-5.566118240E0,-6.947085381E0,1.127111899E1
2.634750381E0,-8.127228737E0,1.250264168E0,-2.604495883E-1,8.226958212E0
2.653872152E0,-6.837589264E0,2.360200882E-1,-9.430459142E-2,6.842311435E0
2.673020590E0,-4.247276306E0,-3.046978951E0,6.914436817E-3,5.227187060E0
2.692155694E0,-1.517138958E0,-4.699241638E0,6.524083018E-2,4.938505741E0
2.711290902E0,-3.387080431E-1,-3.753656387E0,4.851070046E-2,3.769219110E0
2.730412673E0,3.932060003E-1,-1.309992790E0,-9.835519195E-1,1.684656181E0
2.749561110E0,1.049653649E0,2.140326023E0,1.199880093E-1,2.386873560E0
2.768696215E0,1.463921368E-1,4.947021961E0,9.298008680E-1,5.035770705E0
2.787831319E0,-5.663318038E-1,6.158516407E0,1.545457840E0,6.374676147E0
2.806966423E0,-8.716416955E-1,6.987570763E0,1.123891711E0,7.130851070E0
2.826101631E0,-2.171537876E0,8.300547600E0,1.135382771E0,8.654695907E0
2.845236735E0,-1.494937658E0,8.900516510E0,6.991956234E-1,9.052232170E0
2.864371840E0,-8.195000887E-1,8.115116119E0,9.783286452E-1,8.214853435E0
2.883493610E0,-3.193312883E-1,6.190752983E0,1.040134788E0,6.285640409E0
2.902642048E0,-2.989279032E-1,4.521864891E0,6.099204421E-1,4.572594770E0
2.921777152E0,-1.124521852E0,3.177758217E0,1.798795223E0,3.820780147E0
2.940899027E0,-1.869848967E-1,8.665218353E-1,2.339664459E0,2.501969869E0
2.960047465E0,1.526269555E0,-2.244061470E0,3.917900801E0,4.766052593E0
2.979182569E0,3.399219513E0,-7.024662018E0,8.403200150E0,1.146797029E1
2.998304340E0,4.999894142E0,-1.063591480E1,9.016765594E0,1.481295672E1
3.017452777E0,7.072630405E0,-8.176128387E0,1.152312517E0,1.087193637E1
3.036587985E0,8.255875587E0,-4.144750595E0,-2.680773973E0,9.618991023E0
3.055709756E0,7.904646873E0,-1.779593468E0,-2.531824112E0,8.488847297E0
3.074858194E0,2.643530369E0,7.255573273E-1,-2.761158049E-1,2.755163549E0
3.093993298E0,-1.072920561E0,-1.532649994E-1,-1.839238405E0,2.134817697E0
3.113115069E0,-2.852782011E0,-1.519862175E0,-9.054559708E0,9.614228920E0
3.132263506E0,-3.899605989E0,-4.000608444E0,-9.257826805E0,1.081291598E1
3.151398715E0,-4.483053684E0,-9.930630684E0,-2.698795319E0,1.122491391E1
3.170533819E0,-4.903110981E0,-9.972393036E0,1.348694324E0,1.119410990E1
3.189668923E0,-5.354199409E0,-3.813955307E0,-3.632046938E0,7.510357605E0
3.208804027E0,-1.331412911E0,-4.388008118E-1,-3.130258083E0,3.429828299E0
3.227925798E0,2.618030071E0,9.927616119E-1,-2.464982510E0,3.730388163E0
3.247074235E0,3.570621490E0,4.655221462E0,-5.824739933E-1,5.895735802E0
3.266209444E0,3.867587328E0,8.208948135E0,8.770145178E-1,9.116699825E0
3.285344548E0,3.290970802E0,8.516253471E0,2.675919771E0,9.514074239E0
3.304479652E0,1.519180059E0,8.032492638E0,8.888442516E-1,8.223070602E0
3.323614756E0,1.241775751E-1,8.030290604E0,-4.833053350E-1,8.045779720E0
3.342749860E0,-1.040874124E0,7.867695332E0,-7.144618034E-2,7.936570628E0
3.361885069E0,-6.287917495E-1,5.999773502E0,8.772220612E-1,6.096079042E0
3.381006840E0,7.977821231E-1,3.742003918E0,7.101794481E-1,3.891452747E0
3.400155277E0,2.630201101E0,1.058778763E0,2.177071571E0,3.574718301E0
3.419290381E0,4.001640320E0,-3.831536293E0,1.234741807E0,5.676123937E0
3.438412152E0,2.535960674E0,-1.034931755E1,-4.231553078E-1,1.066388910E1
3.457560590E0,-8.365000486E-1,-8.546916962E0,3.165352821E0,9.152539558E0
3.476695798E0,-7.883058190E-1,-2.002547264E0,5.171184540E0,5.601140166E0
3.495817569E0,9.985967278E-1,-1.610651970E0,9.998284578E-1,2.142674063E0
3.514966006E0,1.210341930E0,-1.258586979E1,-6.258409977E0,1.410803818E1
3.534101110E0,-4.006161690E0,-1.162633896E1,-9.147753716E0,1.532652887E1
3.553222881E0,-4.859697342E0,1.133859634E0,-3.206662416E0,5.931692826E0
3.572371319E0,-5.080961227E0,2.446126461E0,-1.555946946E0,5.849843806E0
3.591493194E0,-4.629038811E0,-3.045582771E0,-6.153687835E-1,5.575146049E0
3.610641631E0,-3.464776039E0,-6.050631523E0,1.012408376E0,7.045550763E0
3.629763402E0,-2.996203661E0,-3.145143509E0,-2.767905593E-1,4.352674705E0
3.648911840E0,-2.133626223E0,7.216072083E-2,-5.996630192E-1,2.217467872E0
3.668046944E0,-1.122852802E0,3.024319172E0,7.992713451E-1,3.323573311E0
3.687168819E0,-1.156927347E0,4.733191490E0,2.156654835E0,5.328484085E0
3.706317256E0,-1.024487257E0,6.172367096E0,2.180152416E0,6.625764429E0
3.725452360E0,-4.847794771E-1,7.157170296E0,2.398887396E0,7.564043794E0
3.744587465E0,5.632042885E-1,7.683902264E0,1.407940984E0,7.832103860E0
3.763722569E0,9.844318628E-1,7.968908310E0,-8.944988251E-2,8.029981758E0
3.782857673E0,5.845894217E-1,7.398480892E0,1.236342072E0,7.523815922E0
3.801979548E0,1.155559063E0,5.576922417E0,1.212408304E0,5.822998737E0
3.821127985E0,1.305691481E0,3.602664948E0,9.041108489E-1,3.937186990E0
3.840263090E0,3.936784267E-1,1.207094193E0,1.815619707E0,2.215521161E0
3.859384860E0,-8.209931850E-2,-7.433958054E-1,2.658701897E0,2.761896703E0
3.878533298E0,6.071737409E-1,-2.227985382E0,3.147662163E0,3.903889843E0
3.897668506E0,2.201559782E0,-4.381880760E0,5.584366798E0,7.431883813E0
3.916790277E0,3.541459799E0,-6.209032059E0,7.284076214E0,1.020547808E1
3.935938715E0,4.572859764E0,-6.796131134E0,5.204634666E0,9.704981547E0
