"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.039050125E0,-1.505925248E0,2.196391370E0,-4.824312517E-1,2.706415677E0
1.049057125E0,-3.608987162E0,2.152891009E0,8.711699358E-1,4.291697227E0
1.059064125E0,-5.153084496E0,1.195710577E0,1.468099903E0,5.489929046E0
1.069070125E0,-6.037681686E0,-1.020345563E0,2.019810719E0,6.447816727E0
1.079077125E0,-7.102151508E0,-4.542249266E0,2.785894788E0,8.878839688E0
1.089084125E0,-7.927681879E0,-9.644796277E0,3.235858498E0,1.289732590E1
1.099090125E0,-7.950204184E0,-1.632405318E1,-2.439964739E0,1.832031350E1
1.109097125E0,-5.115734822E0,-2.185754466E1,-1.230521742E1,2.559963627E1
1.119104125E0,-4.302857825E-1,-1.580794986E1,-6.143765380E0,1.696532574E1
1.129110125E0,1.277749352E0,-1.544690534E0,8.825774442E0,9.050580465E0
1.139117125E0,-1.793890971E0,8.455418234E0,1.554242896E1,1.778424135E1
1.149124125E0,-8.036264673E0,1.290881146E1,1.102962160E1,1.878487465E1
1.159130125E0,-1.250732760E1,1.489403005E1,5.317085447E0,2.016275706E1
1.169137125E0,-8.462352448E0,1.402578869E1,5.717980492E0,1.735020053E1
1.179143125E0,-2.895059381E0,7.621646213E0,7.924746577E0,1.136980510E1
1.189150125E0,-3.440766276E-1,1.132061881E0,8.497969007E0,8.579943478E0
1.199157125E0,4.919667448E-1,-3.745562625E0,6.912160853E0,7.877133890E0
1.209163125E0,8.576783627E-1,-8.140678988E0,3.997409220E0,9.109640335E0
1.219170125E0,2.041801367E0,-1.023463766E1,2.039293788E0,1.063369551E1
1.229177125E0,3.942464688E0,-9.152480015E0,1.486695510E0,1.007577202E1
1.239183125E0,3.169925294E0,-6.257458642E0,5.132147956E-1,7.033321011E0
1.249190125E0,-4.561032861E-2,-2.545811037E0,-8.793826425E-1,2.693798057E0
1.259197125E0,-3.413556551E0,5.723757541E-1,-2.216678284E0,4.110187945E0
1.269203125E0,-4.495017797E0,2.875872912E0,-2.017268935E0,5.704840397E0
1.279210125E0,-4.221935576E0,4.146914338E0,-6.451396751E-1,5.952969321E0
1.289217125E0,-3.676981802E0,4.857845714E0,6.478288096E-1,6.126870516E0
1.299223125E0,-2.777994322E0,5.119027389E0,1.440281482E0,5.999675375E0
1.309230125E0,-1.686870553E0,4.363337331E0,1.544415130E0,4.926404675E0
1.319236125E0,-9.760208912E-1,2.696665108E0,2.148170113E0,3.583190522E0
1.329243125E0,-3.477700214E-1,1.104375899E0,2.678823498E0,2.918336076E0
1.339250125E0,9.367800808E-1,-1.370862168E-1,2.258504003E0,2.448916062E0
1.349256125E0,1.748065319E0,-9.613056421E-1,1.436118703E0,2.458104519E0
1.359263125E0,2.553530531E0,-1.001540333E0,1.212859145E0,2.999104619E0
1.369270125E0,2.946694973E0,-5.876691467E-1,7.700933580E-1,3.101839787E0
1.379276125E0,2.606201372E0,-6.798206806E-2,-1.113708933E-1,2.609465583E0
1.389283125E0,2.236456784E0,-1.145750213E-1,-9.543098871E-1,2.434250139E0
1.399290125E0,1.673753786E0,-4.074848574E-1,-1.475875822E0,2.268414664E0
1.409296125E0,1.284649066E0,-3.365481913E-1,-1.066649226E0,1.703328647E0
1.419303125E0,1.208788972E0,-4.472944558E-2,-5.317411137E-1,1.321332703E0
1.429310125E0,1.311407387E0,1.432480127E-1,-4.280794819E-1,1.386925150E0
1.439316125E0,1.567962745E0,6.086542189E-2,-1.020431517E0,1.871761804E0
1.449323125E0,1.838571885E0,-9.770288050E-2,-2.487794378E0,3.094998110E0
1.459330125E0,1.807367780E0,-2.080392551E-1,-4.285049838E0,4.655266988E0
1.469336125E0,1.323271680E0,-1.114613789E-1,-4.993271906E0,5.166840031E0
1.479343125E0,9.292165612E-1,7.904850841E-3,-4.309671001E0,4.408715237E0
1.489350125E0,1.392366181E0,-9.374010551E-1,-2.881447940E0,3.334688373E0
1.499356125E0,2.576736083E0,-2.221222740E0,-1.843012260E0,3.869120507E0
1.509363125E0,3.929509305E0,-2.539827581E0,-1.564457631E0,4.933487124E0
1.519369125E0,4.750106673E0,-2.161623825E0,-1.422746267E0,5.409282568E0
1.529376125E0,4.834041699E0,-1.603866695E0,-1.909943584E0,5.439506597E0
1.539383125E0,3.939520323E0,-8.841288275E-1,-2.666363374E0,4.838491273E0
1.549389125E0,2.769120003E0,-7.576032668E-1,-3.054180830E0,4.191659438E0
1.559396125E0,2.249782588E0,-1.352984306E0,-2.877649296E0,3.895247578E0
1.569403125E0,2.372710065E0,-2.073094057E0,-2.404640248E0,3.963554811E0
1.579409125E0,2.783122915E0,-2.537448349E0,-2.119470078E0,4.321639816E0
1.589416125E0,3.232064824E0,-2.828325108E0,-2.228335294E0,4.838506394E0
1.599423125E0,3.747819358E0,-3.178353471E0,-2.667992116E0,5.591624331E0
1.609429125E0,4.276878646E0,-3.975611969E0,-2.847211615E0,6.496444833E0
1.619436125E0,4.417198373E0,-4.780163115E0,-2.448181977E0,6.953790036E0
1.629443125E0,4.030814363E0,-4.980816752E0,-2.277434363E0,6.800199058E0
1.639449125E0,3.626327080E0,-4.777734767E0,-2.759637866E0,6.602469140E0
1.649456125E0,3.147983325E0,-4.680535916E0,-3.278776768E0,6.524384459E0
1.659463125E0,2.388629402E0,-4.325899948E0,-3.157973585E0,5.864448648E0
1.669469125E0,1.045926474E0,-3.398352036E0,-3.010350101E0,4.658858925E0
1.679476125E0,-5.329731585E-1,-2.467258957E0,-3.036730399E0,3.948817376E0
1.689483125E0,-1.734998400E0,-1.476341845E0,-3.478496312E0,4.158093468E0
1.699489583E0,-2.279820612E0,-7.045701903E-1,-3.499203057E0,4.235377576E0
1.709496583E0,-2.514229056E0,-9.298552233E-1,-1.863839166E0,3.264946388E0
1.719502583E0,-2.906545943E0,-2.220859044E0,1.176414766E0,3.842417977E0
1.729509583E0,-4.063356749E0,-3.426299973E0,3.420407149E0,6.320568379E0
1.739516583E0,-5.324527783E0,-4.199671426E0,4.067216789E0,7.907596892E0
1.749522583E0,-5.960259288E0,-4.551583761E0,3.288206280E0,8.188644946E0
1.759529583E0,-5.724524111E0,-4.531641832E0,1.173614607E0,7.394817458E0
1.769536583E0,-4.932889464E0,-4.299022636E0,-1.071630834E0,6.630489178E0
1.779542583E0,-2.862422562E0,-4.151285716E0,-1.541866329E0,5.272948681E0
1.789549583E0,-6.752652611E-1,-4.529593552E0,-1.329000636E0,4.768589269E0
1.799556583E0,5.262240464E-1,-4.716833677E0,-8.206846373E-1,4.816529347E0
1.809562583E0,1.600927446E0,-4.264571427E0,-6.918293998E-2,4.555691431E0
1.819569583E0,2.159576861E0,-3.106531536E0,2.541853641E0,4.557996307E0
