"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.691378816E0,-2.321063995E0,-7.679840565E0,1.290251255E0,8.126009935E0
1.710515587E0,-1.398192883E0,-7.345504284E0,-2.184509635E-1,7.480581351E0
1.729652254E0,-7.114268541E-1,-7.201015472E0,-1.563047409E0,7.402963542E0
1.748789024E0,-5.126709938E-1,-7.659615993E0,-2.016030312E0,7.937060346E0
1.767925795E0,-1.340004683E0,-8.624719620E0,-8.139984608E-1,8.766070646E0
1.787062462E0,-2.673604250E0,-9.843293190E0,-3.090655804E-2,1.019997724E1
1.806199233E0,-3.260219574E0,-1.034659195E1,3.441681862E-1,1.085354543E1
1.825336004E0,-3.885058165E-1,-5.086362362E0,1.604791403E0,5.347651287E0
1.844472670E0,3.001736641E0,6.181994438E0,4.196692944E0,8.052310833E0
1.863596108E0,8.590963364E0,3.071334457E1,1.285445118E1,3.438533265E1
1.882746212E0,-6.567213535E-1,4.994337845E1,3.196091890E0,5.004984852E1
1.901882879E0,3.107032776E0,2.375473022E1,7.368350983E0,2.506458571E1
1.921006316E0,3.571674585E0,2.331352043E1,3.610043049E0,2.386020757E1
1.940156420E0,1.989918947E0,1.992991829E1,4.353055000E0,2.049659748E1
1.959293191E0,1.031827688E0,1.268942642E1,1.501169682E0,1.281950552E1
1.978416524E0,6.282551289E-1,4.746067047E0,-3.814486265E-1,4.802640938E0
1.997566629E0,1.477199078E0,-2.566060066E0,-3.167394400E-1,2.977768502E0
2.016703399E0,1.877115250E0,-9.138766289E0,-8.288189769E-1,9.366298727E0
2.035826837E0,4.237372875E-1,-1.434940529E1,-7.400534153E-1,1.437472311E1
2.054976941E0,-1.891965270E0,-1.874014473E1,-1.140732050E0,1.886991857E1
2.074113608E0,-3.864788532E0,-2.001286316E1,-1.840973377E0,2.046559223E1
2.093237045E0,-4.795546532E0,-1.597190285E1,-1.126976490E0,1.671433586E1
2.112387149E0,-4.758756161E0,-9.558586121E0,3.652882576E-2,1.067771807E1
2.131523920E0,-4.408066273E0,-6.907053471E0,1.003609896E0,8.255038990E0
2.150647358E0,-3.140333652E0,-5.659392357E0,4.181042910E-1,6.485771234E0
2.169797462E0,-1.402361155E0,-5.470171452E0,-1.124990702E0,5.758037565E0
2.188934233E0,-1.102296114E0,-6.461190224E0,-2.024128914E0,6.859966012E0
2.208071004E0,-1.900378108E0,-7.473451614E0,-2.303793907E0,8.048066995E0
2.227207774E0,-2.793765545E0,-8.846519470E0,-1.553748608E0,9.406389711E0
2.246344545E0,-3.164169073E0,-1.048742008E1,-8.637771606E-1,1.098836006E1
2.265467983E0,-2.379054785E0,-1.210565662E1,-4.354982376E-1,1.234489703E1
2.284617983E0,-1.376346946E0,-1.329897785E1,7.973146439E-1,1.339376174E1
2.303754754E0,3.470041752E-1,-1.209381104E1,2.742504597E0,1.240572484E1
2.322878295E0,1.223345160E0,-4.915182114E0,3.103310108E0,5.940212304E0
